n,p,s,pi,m
10000000, 1, 0.642788, 3.14148, 10000000
10000000, 1, 0.647725, 3.14205, 10000000
10000000, 1, 0.639358, 3.14122, 10000000
10000000, 2, 0.354197, 3.14146, 10000000
10000000, 2, 0.322244, 3.14146, 10000000
10000000, 2, 0.339766, 3.14202, 10000000
9999999, 3, 0.267152, 3.14272, 10000000
9999999, 3, 0.262773, 3.14272, 10000000
9999999, 3, 0.259885, 3.14039, 10000000
10000000, 4, 0.200995, 3.14004, 10000000
10000000, 4, 0.219685, 3.14231, 10000000
10000000, 4, 0.232056, 3.14231, 10000000
10000000, 5, 0.212745, 3.14214, 10000000
10000000, 5, 0.215596, 3.14214, 10000000
10000000, 5, 0.176217, 3.14457, 10000000
9999996, 6, 0.177642, 3.14392, 10000000
9999996, 6, 0.17927, 3.14392, 10000000
9999996, 6, 0.154478, 3.14463, 10000000
9999997, 7, 0.153725, 3.14416, 10000000
9999997, 7, 0.138573, 3.14234, 10000000
9999997, 7, 0.157552, 3.14234, 10000000
10000000, 8, 0.135114, 3.13986, 10000000
10000000, 8, 0.144349, 3.13986, 10000000
10000000, 8, 0.136732, 3.13986, 10000000
9999999, 9, 0.11982, 3.14173, 10000000
9999999, 9, 0.119545, 3.14173, 10000000
9999999, 9, 0.120759, 3.14025, 10000000
10000000, 10, 0.110053, 3.13994, 10000000
10000000, 10, 0.108589, 3.13856, 10000000
10000000, 10, 0.108415, 3.13856, 10000000
9999990, 11, 0.0976491, 3.14311, 10000000
9999990, 11, 0.0980461, 3.14311, 10000000
9999990, 11, 0.0989108, 3.14311, 10000000
9999996, 12, 0.090765, 3.14343, 10000000
9999996, 12, 0.0901189, 3.14343, 10000000
9999996, 12, 0.138863, 3.14598, 10000000
100000000, 1, 5.67872, 3.14183, 100000000
100000000, 1, 5.69566, 3.14146, 100000000
100000000, 1, 5.69447, 3.14154, 100000000
100000000, 2, 2.8457, 3.1416, 100000000
100000000, 2, 2.92844, 3.1413, 100000000
100000000, 2, 2.89528, 3.14189, 100000000
99999999, 3, 1.95086, 3.14162, 100000000
99999999, 3, 1.99165, 3.14229, 100000000
99999999, 3, 1.9753, 3.14141, 100000000
100000000, 4, 1.51107, 3.1414, 100000000
100000000, 4, 1.47764, 3.14147, 100000000
100000000, 4, 1.50294, 3.14156, 100000000
100000000, 5, 1.20928, 3.1411, 100000000
100000000, 5, 1.27115, 3.14141, 100000000
100000000, 5, 1.28404, 3.14141, 100000000
99999996, 6, 1.06271, 3.14212, 100000000
99999996, 6, 1.09686, 3.14158, 100000000
99999996, 6, 1.08617, 3.14135, 100000000
99999998, 7, 0.93356, 3.14191, 100000000
99999998, 7, 0.940617, 3.14102, 100000000
99999998, 7, 0.905747, 3.14142, 100000000
100000000, 8, 0.824698, 3.14108, 100000000
100000000, 8, 0.84593, 3.14172, 100000000
100000000, 8, 0.836316, 3.14162, 100000000
99999999, 9, 0.698638, 3.14095, 100000000
99999999, 9, 0.717788, 3.14149, 100000000
99999999, 9, 0.72429, 3.1421, 100000000
100000000, 10, 0.696708, 3.14092, 100000000
100000000, 10, 0.638297, 3.14227, 100000000
100000000, 10, 0.676189, 3.14096, 100000000
99999999, 11, 0.62609, 3.14142, 100000000
99999999, 11, 0.555655, 3.14203, 100000000
99999999, 11, 0.618991, 3.14207, 100000000
99999996, 12, 0.565859, 3.14177, 100000000
99999996, 12, 0.543057, 3.14177, 100000000
99999996, 12, 0.564019, 3.14232, 100000000
1000000000, 1, 57.7926, 3.14163, 1000000000
1000000000, 1, 56.1132, 3.14151, 1000000000
1000000000, 1, 56.1313, 3.1416, 1000000000
1000000000, 2, 28.4922, 3.14156, 1000000000
1000000000, 2, 28.3156, 3.14158, 1000000000
1000000000, 2, 28.2942, 3.14145, 1000000000
999999999, 3, 19.0023, 3.14147, 1000000000
999999999, 3, 18.8952, 3.14153, 1000000000
999999999, 3, 19.2577, 3.14153, 1000000000
1000000000, 4, 14.2111, 3.14171, 1000000000
1000000000, 4, 14.2071, 3.14152, 1000000000
1000000000, 4, 14.2103, 3.14165, 1000000000
1000000000, 5, 11.8183, 3.14159, 1000000000
1000000000, 5, 11.8953, 3.14157, 1000000000
1000000000, 5, 11.9294, 3.14153, 1000000000
999999996, 6, 9.9158, 3.14154, 1000000000
999999996, 6, 9.88213, 3.14164, 1000000000
999999996, 6, 9.95214, 3.14177, 1000000000
999999994, 7, 8.83199, 3.14171, 1000000000
999999994, 7, 8.5541, 3.14181, 1000000000
999999994, 7, 8.68174, 3.14154, 1000000000
1000000000, 8, 7.48796, 3.14136, 1000000000
1000000000, 8, 7.57227, 3.14159, 1000000000
1000000000, 8, 7.47461, 3.14186, 1000000000
999999999, 9, 6.60646, 3.14153, 1000000000
999999999, 9, 6.72307, 3.14147, 1000000000
999999999, 9, 6.67663, 3.14149, 1000000000
1000000000, 10, 5.99878, 3.14147, 1000000000
1000000000, 10, 5.95556, 3.14154, 1000000000
1000000000, 10, 5.93677, 3.14169, 1000000000
999999990, 11, 5.51331, 3.14175, 1000000000
999999990, 11, 5.39834, 3.14157, 1000000000
999999990, 11, 5.43512, 3.14146, 1000000000
999999996, 12, 5.00043, 3.1415, 1000000000
999999996, 12, 5.10374, 3.14173, 1000000000
999999996, 12, 4.95987, 3.14164, 1000000000
