n,p,s,pi,m
10000000, 1, 0.605204, 3.14178, 10000000
10000000, 1, 0.629022, 3.14178, 10000000
10000000, 1, 0.635327, 3.14317, 10000000
20000000, 2, 0.644474, 3.14267, 10000000
20000000, 2, 0.633289, 3.14187, 10000000
20000000, 2, 0.648184, 3.14114, 10000000
30000000, 3, 0.629536, 3.14065, 10000000
30000000, 3, 0.63356, 3.14136, 10000000
30000000, 3, 0.622727, 3.14119, 10000000
40000000, 4, 0.61677, 3.14119, 10000000
40000000, 4, 0.678836, 3.14049, 10000000
40000000, 4, 0.648386, 3.14146, 10000000
50000000, 5, 0.650129, 3.14158, 10000000
50000000, 5, 0.666055, 3.14105, 10000000
50000000, 5, 0.657671, 3.1417, 10000000
60000000, 6, 0.700232, 3.14148, 10000000
60000000, 6, 0.672667, 3.14127, 10000000
60000000, 6, 0.678286, 3.14184, 10000000
70000000, 7, 0.692224, 3.14188, 10000000
70000000, 7, 0.643198, 3.14123, 10000000
70000000, 7, 0.67818, 3.14112, 10000000
80000000, 8, 0.64435, 3.14134, 10000000
80000000, 8, 0.69086, 3.14206, 10000000
80000000, 8, 0.687373, 3.14152, 10000000
90000000, 9, 0.690836, 3.14096, 10000000
90000000, 9, 0.660765, 3.14212, 10000000
90000000, 9, 0.663824, 3.14212, 10000000
100000000, 10, 0.677789, 3.14081, 10000000
100000000, 10, 0.628064, 3.1412, 10000000
100000000, 10, 0.662169, 3.14233, 10000000
110000000, 11, 0.67874, 3.14119, 10000000
110000000, 11, 0.708169, 3.14226, 10000000
110000000, 11, 0.875079, 3.14259, 10000000
120000000, 12, 0.649667, 3.14237, 10000000
120000000, 12, 0.60857, 3.14237, 10000000
120000000, 12, 0.674526, 3.14168, 10000000
100000000, 1, 5.6563, 3.14156, 100000000
100000000, 1, 5.76549, 3.14132, 100000000
100000000, 1, 5.57216, 3.14145, 100000000
200000000, 2, 5.73339, 3.14165, 100000000
200000000, 2, 5.70047, 3.14193, 100000000
200000000, 2, 5.66525, 3.14147, 100000000
300000000, 3, 5.74498, 3.14119, 100000000
300000000, 3, 5.77919, 3.14138, 100000000
300000000, 3, 5.92328, 3.14154, 100000000
400000000, 4, 5.80806, 3.14146, 100000000
400000000, 4, 5.81148, 3.1415, 100000000
400000000, 4, 5.75957, 3.14159, 100000000
500000000, 5, 5.94165, 3.1418, 100000000
500000000, 5, 5.99782, 3.14169, 100000000
500000000, 5, 5.98694, 3.14138, 100000000
600000000, 6, 6.06905, 3.14172, 100000000
600000000, 6, 5.98031, 3.14151, 100000000
600000000, 6, 5.95771, 3.1416, 100000000
700000000, 7, 5.97442, 3.14171, 100000000
700000000, 7, 5.96417, 3.14169, 100000000
700000000, 7, 6.01353, 3.14163, 100000000
800000000, 8, 5.97127, 3.14159, 100000000
800000000, 8, 6.02797, 3.14125, 100000000
800000000, 8, 6.06674, 3.14142, 100000000
900000000, 9, 5.98217, 3.14166, 100000000
900000000, 9, 5.99724, 3.1414, 100000000
900000000, 9, 6.04025, 3.14176, 100000000
1000000000, 10, 5.96817, 3.14167, 100000000
1000000000, 10, 7.7486, 3.14159, 100000000
1000000000, 10, 6.00357, 3.14163, 100000000
1100000000, 11, 5.98031, 3.14184, 100000000
1100000000, 11, 6.00978, 3.14151, 100000000
1100000000, 11, 6.00357, 3.1416, 100000000
1200000000, 12, 5.96264, 3.14132, 100000000
1200000000, 12, 6.05246, 3.1417, 100000000
1200000000, 12, 6.01317, 3.14146, 100000000
1000000000, 1, 56.1411, 3.14153, 1000000000
1000000000, 1, 57.6577, 3.14163, 1000000000
1000000000, 1, 56.0466, 3.14158, 1000000000
2000000000, 2, 56.5617, 3.14152, 1000000000
2000000000, 2, 56.7537, 3.1416, 1000000000
2000000000, 2, 57.7189, 3.14154, 1000000000
3000000000, 3, 56.6777, 3.14165, 1000000000
3000000000, 3, 56.1923, 3.14164, 1000000000
3000000000, 3, 57.0073, 3.14162, 1000000000
4000000000, 4, 56.7066, 3.14156, 1000000000
4000000000, 4, 56.5766, 3.14159, 1000000000
4000000000, 4, 56.8651, 3.1416, 1000000000
5000000000, 5, 59.161, 3.14162, 1000000000
5000000000, 5, 59.1806, 3.14152, 1000000000
5000000000, 5, 59.3785, 3.14146, 1000000000
6000000000, 6, 60.2382, 3.14155, 1000000000
6000000000, 6, 59.1015, 3.14167, 1000000000
6000000000, 6, 59.9377, 3.14154, 1000000000
7000000000, 7, 77.266, 3.14156, 1000000000
7000000000, 7, 59.1503, 3.14153, 1000000000
7000000000, 7, 59.7197, 3.14159, 1000000000
8000000000, 8, 59.2124, 3.14147, 1000000000
8000000000, 8, 59.1347, 3.14164, 1000000000
8000000000, 8, 59.4663, 3.14157, 1000000000
9000000000, 9, 59.2557, 3.14164, 1000000000
9000000000, 9, 60.2151, 3.14157, 1000000000
9000000000, 9, 59.3812, 3.14143, 1000000000
10000000000, 10, 60.9464, 3.14161, 1000000000
10000000000, 10, 59.3907, 3.14167, 1000000000
10000000000, 10, 60.7905, 3.14157, 1000000000
11000000000, 11, 59.8391, 3.14167, 1000000000
11000000000, 11, 59.3391, 3.14149, 1000000000
11000000000, 11, 60.1835, 3.1415, 1000000000
12000000000, 12, 61.6733, 3.14167, 1000000000
12000000000, 12, 60.1311, 3.14158, 1000000000
12000000000, 12, 59.7812, 3.14152, 1000000000
