n,p,s,pi,m
10000000, 1, 0.624856, 3.14082, 10000000
10000000, 1, 0.640472, 3.14154, 10000000
10000000, 1, 0.645692, 3.14178, 10000000
10000000, 1, 0.637065, 3.14198, 10000000
10000000, 1, 0.642161, 3.14197, 10000000
10000000, 1, 0.650571, 3.14197, 10000000
10000000, 1, 0.654342, 3.14152, 10000000
10000000, 1, 0.652127, 3.14268, 10000000
10000000, 1, 0.655558, 3.14132, 10000000
10000000, 1, 0.587332, 3.1412, 10000000
10000000, 2, 0.35068, 3.14177, 10000000
10000000, 2, 0.375609, 3.14177, 10000000
10000000, 2, 0.325356, 3.14139, 10000000
10000000, 2, 0.348874, 3.14118, 10000000
10000000, 2, 0.317066, 3.14118, 10000000
10000000, 2, 0.354326, 3.14197, 10000000
10000000, 2, 0.321351, 3.14197, 10000000
10000000, 2, 0.349229, 3.14087, 10000000
10000000, 2, 0.311036, 3.14087, 10000000
10000000, 2, 0.294995, 3.14191, 10000000
9999999, 3, 0.297837, 3.14051, 10000000
9999999, 3, 0.276569, 3.14051, 10000000
9999999, 3, 0.272257, 3.14067, 10000000
9999999, 3, 0.261971, 3.14067, 10000000
9999999, 3, 0.261966, 3.14053, 10000000
9999999, 3, 0.261306, 3.14053, 10000000
9999999, 3, 0.261733, 3.14168, 10000000
9999999, 3, 0.257828, 3.14168, 10000000
9999999, 3, 0.258737, 3.141, 10000000
9999999, 3, 0.260743, 3.141, 10000000
10000000, 4, 0.209154, 3.14263, 10000000
10000000, 4, 0.232398, 3.14263, 10000000
10000000, 4, 0.17006, 3.14112, 10000000
10000000, 4, 0.197403, 3.14112, 10000000
10000000, 4, 0.223707, 3.14112, 10000000
10000000, 4, 0.231675, 3.14223, 10000000
10000000, 4, 0.242265, 3.14223, 10000000
10000000, 4, 0.245206, 3.1412, 10000000
10000000, 4, 0.245992, 3.1412, 10000000
10000000, 4, 0.246812, 3.14059, 10000000
10000000, 5, 0.218622, 3.14018, 10000000
10000000, 5, 0.21539, 3.14352, 10000000
10000000, 5, 0.17186, 3.14352, 10000000
10000000, 5, 0.191951, 3.1419, 10000000
10000000, 5, 0.205554, 3.1419, 10000000
10000000, 5, 0.214837, 3.14343, 10000000
10000000, 5, 0.170302, 3.14343, 10000000
10000000, 5, 0.201992, 3.14057, 10000000
10000000, 5, 0.208481, 3.14057, 10000000
10000000, 5, 0.171596, 3.14029, 10000000
9999996, 6, 0.191552, 3.13971, 10000000
9999996, 6, 0.179904, 3.14198, 10000000
9999996, 6, 0.172482, 3.14198, 10000000
9999996, 6, 0.147692, 3.1408, 10000000
9999996, 6, 0.178279, 3.1408, 10000000
9999996, 6, 0.154882, 3.14249, 10000000
9999996, 6, 0.188191, 3.14249, 10000000
9999996, 6, 0.155469, 3.14249, 10000000
9999996, 6, 0.181997, 3.14149, 10000000
9999996, 6, 0.152493, 3.14149, 10000000
9999997, 7, 0.153548, 3.14329, 10000000
9999997, 7, 0.149667, 3.14329, 10000000
9999997, 7, 0.174593, 3.14175, 10000000
9999997, 7, 0.150499, 3.14175, 10000000
9999997, 7, 0.154702, 3.14175, 10000000
9999997, 7, 0.154778, 3.14275, 10000000
9999997, 7, 0.137336, 3.14275, 10000000
9999997, 7, 0.155048, 3.14128, 10000000
9999997, 7, 0.143519, 3.14128, 10000000
9999997, 7, 0.130542, 3.14219, 10000000
10000000, 8, 0.13452, 3.14268, 10000000
10000000, 8, 0.134345, 3.14268, 10000000
10000000, 8, 0.135975, 3.14381, 10000000
10000000, 8, 0.135505, 3.14381, 10000000
10000000, 8, 0.134376, 3.14208, 10000000
10000000, 8, 0.137953, 3.14208, 10000000
10000000, 8, 0.078779, 3.14304, 10000000
10000000, 8, 0.137059, 3.14304, 10000000
10000000, 8, 0.138981, 3.14304, 10000000
10000000, 8, 0.139387, 3.14094, 10000000
9999999, 9, 0.141277, 3.13984, 10000000
9999999, 9, 0.122478, 3.14229, 10000000
9999999, 9, 0.119988, 3.14229, 10000000
9999999, 9, 0.121183, 3.14063, 10000000
9999999, 9, 0.113257, 3.14063, 10000000
9999999, 9, 0.119573, 3.14063, 10000000
9999999, 9, 0.121798, 3.14173, 10000000
9999999, 9, 0.122882, 3.14173, 10000000
9999999, 9, 0.120523, 3.1449, 10000000
9999999, 9, 0.111612, 3.1449, 10000000
10000000, 10, 0.108954, 3.14266, 10000000
10000000, 10, 0.108496, 3.14266, 10000000
10000000, 10, 0.10949, 3.14266, 10000000
10000000, 10, 0.107971, 3.14109, 10000000
10000000, 10, 0.123525, 3.14109, 10000000
10000000, 10, 0.109035, 3.13936, 10000000
10000000, 10, 0.108177, 3.13936, 10000000
10000000, 10, 0.110588, 3.14139, 10000000
10000000, 10, 0.108425, 3.14139, 10000000
10000000, 10, 0.10805, 3.14139, 10000000
9999990, 11, 0.096349, 3.14217, 10000000
9999990, 11, 0.12853, 3.14217, 10000000
9999990, 11, 0.100322, 3.14181, 10000000
9999990, 11, 0.0989058, 3.14181, 10000000
9999990, 11, 0.098882, 3.13866, 10000000
9999990, 11, 0.0986221, 3.13866, 10000000
9999990, 11, 0.101987, 3.13929, 10000000
9999990, 11, 0.130345, 3.14557, 10000000
9999990, 11, 0.09852, 3.14557, 10000000
9999990, 11, 0.100112, 3.14104, 10000000
9999996, 12, 0.0790632, 3.14051, 10000000
9999996, 12, 0.081022, 3.14285, 10000000
9999996, 12, 0.090384, 3.14285, 10000000
9999996, 12, 0.0911622, 3.14285, 10000000
9999996, 12, 0.0900161, 3.14109, 10000000
9999996, 12, 0.090009, 3.14109, 10000000
9999996, 12, 0.0921841, 3.13631, 10000000
9999996, 12, 0.0900309, 3.13631, 10000000
9999996, 12, 0.069144, 3.14172, 10000000
9999996, 12, 0.0920832, 3.14172, 10000000
100000000, 1, 5.67805, 3.1416, 100000000
100000000, 1, 5.69797, 3.14158, 100000000
100000000, 1, 5.67379, 3.14159, 100000000
100000000, 1, 5.66337, 3.1417, 100000000
100000000, 1, 7.42747, 3.14129, 100000000
100000000, 1, 5.70926, 3.14145, 100000000
100000000, 1, 5.68446, 3.14181, 100000000
100000000, 1, 5.66901, 3.14116, 100000000
100000000, 1, 5.7092, 3.14177, 100000000
100000000, 1, 5.70126, 3.14191, 100000000
100000000, 2, 2.95558, 3.14158, 100000000
100000000, 2, 2.95613, 3.1419, 100000000
100000000, 2, 2.88317, 3.14195, 100000000
100000000, 2, 2.89011, 3.14121, 100000000
100000000, 2, 2.92456, 3.14169, 100000000
100000000, 2, 2.93784, 3.14164, 100000000
100000000, 2, 2.91328, 3.14146, 100000000
100000000, 2, 2.90567, 3.14125, 100000000
100000000, 2, 2.97147, 3.1412, 100000000
100000000, 2, 2.85591, 3.14164, 100000000
99999999, 3, 2.00626, 3.14116, 100000000
99999999, 3, 1.99427, 3.14137, 100000000
99999999, 3, 2.01777, 3.14177, 100000000
99999999, 3, 1.97572, 3.14164, 100000000
99999999, 3, 2.00187, 3.14144, 100000000
99999999, 3, 1.95364, 3.14171, 100000000
99999999, 3, 1.99712, 3.14159, 100000000
99999999, 3, 1.96007, 3.14164, 100000000
99999999, 3, 1.98813, 3.14172, 100000000
99999999, 3, 1.9789, 3.14176, 100000000
100000000, 4, 1.50777, 3.14158, 100000000
100000000, 4, 1.53297, 3.14129, 100000000
100000000, 4, 1.51262, 3.14152, 100000000
100000000, 4, 1.49265, 3.14122, 100000000
100000000, 4, 1.48786, 3.14155, 100000000
100000000, 4, 1.50082, 3.14082, 100000000
100000000, 4, 1.52332, 3.14107, 100000000
100000000, 4, 1.47954, 3.14159, 100000000
100000000, 4, 1.47805, 3.14175, 100000000
100000000, 4, 1.52875, 3.14207, 100000000
100000000, 5, 1.23927, 3.14228, 100000000
100000000, 5, 1.23635, 3.1415, 100000000
100000000, 5, 1.24979, 3.14151, 100000000
100000000, 5, 1.22576, 3.1421, 100000000
